ppm_norm,asp.4
1.1023,0
1.102463302,0
1.10268,0
1.10306,0
1.10344,0
1.103562806,0
1.10382,0
1.1042,0
1.10458,0
1.104662309,0
1.10497,0
1.10535,0
1.10573,0
1.105761813,0
1.10611,0
1.10649,0
1.106861316,0
1.10687,0
1.10726,0
1.10764,0
1.10796082,0.006964318
1.10802,0
1.1084,0
1.10878,0
1.109060323,0
1.10916,0.001097688
1.10955,0.00428289
1.10993,0.00862369
1.110159827,0
1.11031,0
1.11069,0
1.11107,0
1.111259331,0
1.11145,0
1.11184,0.000468875
1.11222,0.002422366
1.112358834,0
1.1126,0
1.11298,0
1.11336,0
1.113458338,0.002732813
1.11374,0.007480776
1.11413,0.007663482
1.11451,0
1.114557841,0
1.11489,0
1.11527,0
1.11565,0.006003833
1.115657345,0.003257087
1.11603,0.000888417
1.11642,0
1.116756848,0
1.1168,0
1.11718,0.003525907
1.11756,0.005913739
1.117856352,0
1.11794,0
1.11832,0
1.11871,0
1.118955855,0.005964621
1.11909,0.008414975
1.11947,0.005381263
1.11985,0
1.120055359,0
1.12023,0
1.12061,0
1.121,0
1.121154863,0
1.12138,0
1.12176,0
1.12214,0
1.122254366,0
1.12252,0
1.1229,0
1.12329,0
1.12335387,0
1.12367,0.000335354
1.12405,0.000377186
1.12443,0.009084073
1.124453373,0.001599531
1.12481,0.000344862
1.12519,0
1.125552877,0
1.12558,0
1.12596,0
1.12634,0
1.12665238,0.001829799
1.12672,0.001590817
1.1271,0.000717954
1.12748,0
1.127751884,0
1.12787,0.009384374
1.12825,0.007573431
1.12863,0.005048613
1.128851387,0
1.12901,0
1.12939,0
1.12977,0
1.129950891,0
1.13015,0
1.13054,0.000776434
1.13092,0.003825899
1.131050395,0.00115773
1.1313,0
1.13168,0
1.13206,0
1.132149898,0
1.13244,0.000895391
1.13283,0.000920642
1.13321,0
1.133249402,0
1.13359,0
1.13397,0
1.134348905,0
1.13435,0
1.13473,0
1.13512,0
1.135448409,0
1.1355,0
1.13588,0.00626247
1.13626,0.010336654
1.136547912,0.008403136
1.13664,0
1.13702,0
1.13741,0
1.137647416,0.008559861
1.13779,0.010976254
1.13817,0.006913488
1.13855,0
1.138746919,0
1.13893,0.000580405
1.13931,0.000426339
1.1397,0
1.139846423,0
1.14008,0
1.14046,0
1.14084,0
1.140945927,0
1.14122,0.002178781
1.1416,0.002432962
1.14199,0.010726972
1.14204543,0.002443181
1.14237,0.000247439
1.14275,0
1.14313,0
1.143144934,0
1.14351,0
1.14389,0
