ppm_norm,ile.7
0.979025,0.266389637
0.979318904,0.238754524
0.979407,0.214951429
0.979788,0.212243249
0.98017,0.203816327
0.980418407,0.209560589
0.980552,0.230507447
0.980933,0.235191107
0.981315,0.267778231
0.981517911,0.32509245
0.981696,0.390965343
0.982078,0.39146812
0.98246,0.437879746
0.982617414,0.451853519
0.982841,0.443619775
0.983223,0.442635262
0.983605,0.419016616
0.983716918,0.383783552
0.983986,0.360959749
0.984368,0.354358324
0.98475,0.354401822
0.984816421,0.386848915
0.985131,0.421522767
0.985513,0.439536021
0.985895,0.500855832
0.985915925,0.550995787
0.986276,0.558384452
0.986658,0.564664237
0.987015429,0.536361177
0.987039,0.478546312
0.987421,0.44475921
0.987803,0.398958961
0.988114932,0.305852057
0.988184,0.218860823
0.988566,0.197799853
0.988948,0.150323251
0.989214436,0.095809643
0.989329,0.052642353
0.989711,0.046861523
0.990093,0.022225451
0.990313939,0
0.990474,0
0.990856,0
0.991237,0
0.991413443,0
0.991619,0
0.992001,0
0.992382,0
0.992512946,0
0.992764,0
0.993146,0
0.993527,0
0.99361245,0
0.993909,0
0.994291,0
0.994672,0
0.994711953,0
0.995054,0
0.995436,0
0.995811457,0
0.995817,0
0.996199,0
0.99658,0
0.996910961,0
0.996962,0.007818286
0.997344,0.026548681
0.997725,0.058524638
0.998010464,0.130260995
0.998107,0.214550745
0.998489,0.236584458
0.99887,0.301933462
0.999109968,0.410751972
0.999252,0.540322016
0.999634,0.555601596
1.00002,0.653576081
1.000209471,0.736916818
1.0004,0.811369717
1.00078,0.812139412
1.00116,0.889315014
1.001308975,0.991280478
1.00154,1.14910404
1.00192,1.165636862
1.00231,1.427524861
1.002408478,1.745387421
1.00269,2.033963787
1.00307,2.118145452
1.00345,2.56625144
1.003507982,3.061657459
1.00383,3.420793213
1.00421,3.598106469
1.00459,4.284189034
1.004607485,5.268585097
1.00498,6.073430351
1.00536,6.731167775
1.005706989,9.045351755
1.00574,12.62453654
1.00612,14.6700685
1.0065,17.34036083
1.006806493,22.309729
1.00688,26.43941604
1.00727,27.25319898
1.00765,28.97753172
1.007905996,29.53614804
1.00803,28.04441326
1.00841,27.42254121
1.00879,24.90443407
1.0090055,20.90352659
1.00917,16.80223881
1.00956,16.46652873
1.00994,13.1114646
1.010105003,10.14673268
1.01032,8.086093642
1.0107,8.005453756
1.01108,6.523966122
1.011204507,5.457132745
